,as_of_date,trade_time,quantity,quantity_direction,hedge_value
0,2022-03-07,20220307  10:55:04,1,-1.0,212822.85
1,2022-03-07,20220307  10:59:04,1,1.0,-212977.15
2,2022-03-07,20220307  11:01:45,1,-1.0,212910.35
3,2022-03-07,20220307  11:05:34,1,1.0,-213139.65
4,2022-03-07,20220307  11:37:34,1,-1.0,212660.35
5,2022-03-07,20220307  11:47:34,1,1.0,-213214.65
6,2022-03-07,20220307  11:55:34,1,-1.0,212435.35
7,2022-03-07,20220307  11:59:34,1,-1.0,212185.35
8,2022-03-07,20220307  12:07:34,1,-1.0,211910.35
9,2022-03-07,20220307  12:09:35,1,1.0,-212027.15
10,2022-03-07,20220307  12:19:35,1,-1.0,211672.85
11,2022-03-07,20220307  12:23:35,1,-1.0,211322.85
12,2022-03-07,20220307  12:25:35,1,-1.0,211310.35
13,2022-03-07,20220307  12:27:35,1,1.0,-211514.65
14,2022-03-07,20220307  12:43:35,1,1.0,-211664.65
15,2022-03-07,20220307  12:45:35,1,-1.0,211547.85
16,2022-03-07,20220307  12:49:35,1,1.0,-211902.15
17,2022-03-07,20220307  12:57:35,1,-1.0,211597.85
18,2022-03-07,20220307  13:01:35,1,1.0,-211977.15
19,2022-03-07,20220307  13:03:35,1,1.0,-212214.65
20,2022-03-07,20220307  13:11:35,1,-1.0,211647.85
21,2022-03-07,20220307  13:15:35,1,-1.0,211435.35
22,2022-03-07,20220307  13:21:35,1,-1.0,211235.35
23,2022-03-07,20220307  13:23:35,1,1.0,-211464.65
24,2022-03-07,20220307  13:27:35,1,1.0,-211702.15
25,2022-03-07,20220307  13:35:35,1,-1.0,211497.85
26,2022-03-07,20220307  13:37:36,1,1.0,-211702.15
27,2022-03-07,20220307  13:39:35,1,1.0,-212014.65
28,2022-03-07,20220307  13:43:35,1,-1.0,211897.85
29,2022-03-07,20220307  13:49:36,1,-1.0,211610.35
30,2022-03-07,20220307  13:51:36,1,1.0,-211714.65
31,2022-03-07,20220307  13:55:36,1,-1.0,211535.35
32,2022-03-07,20220307  14:09:36,1,1.0,-211602.15
33,2022-03-07,20220307  14:17:36,1,1.0,-212077.15
34,2022-03-07,20220307  14:21:36,1,-1.0,211785.35
35,2022-03-07,20220307  14:23:36,1,-1.0,211485.35
36,2022-03-07,20220307  14:25:36,1,1.0,-211639.65
37,2022-03-07,20220307  14:31:36,1,-1.0,211447.85
38,2022-03-07,20220307  14:43:36,1,-1.0,211047.85
39,2022-03-07,20220307  14:47:36,1,1.0,-211302.15
40,2022-03-07,20220307  14:49:36,1,-1.0,211222.85
41,2022-03-07,20220307  15:09:36,1,-1.0,210810.35
42,2022-03-07,20220307  15:21:37,1,1.0,-210777.15
43,2022-03-07,20220307  15:31:37,1,-1.0,210547.85
44,2022-03-07,20220307  15:41:37,1,-1.0,210397.85
45,2022-03-07,20220307  15:43:37,1,1.0,-210689.65
46,2022-03-07,20220307  15:45:37,1,-1.0,210497.85
47,2022-03-07,20220307  15:55:24,6,-1.0,210122.85
47,2022-03-07,20220307  15:55:24,6,-1.0,210122.85
47,2022-03-07,20220307  15:55:24,6,-1.0,210122.85
47,2022-03-07,20220307  15:55:24,6,-1.0,210122.85
47,2022-03-07,20220307  15:55:24,6,-1.0,210122.85
47,2022-03-07,20220307  15:55:24,6,-1.0,210122.85
48,2022-03-08,20220308  09:30:41,1,1.0,-210164.65
49,2022-03-08,20220308  09:32:40,1,-1.0,209810.35
50,2022-03-08,20220308  09:34:40,1,-1.0,209647.85
51,2022-03-08,20220308  09:36:40,2,1.0,-210414.65
51,2022-03-08,20220308  09:36:40,2,1.0,-210414.65
52,2022-03-08,20220308  09:38:40,1,-1.0,209985.35
53,2022-03-08,20220308  09:40:40,2,-1.0,209047.85
53,2022-03-08,20220308  09:40:40,2,-1.0,209047.85
54,2022-03-08,20220308  09:42:40,1,1.0,-209614.65
55,2022-03-08,20220308  09:44:40,2,1.0,-210239.65
55,2022-03-08,20220308  09:44:40,2,1.0,-210239.65
56,2022-03-08,20220308  09:46:40,1,1.0,-210602.15
57,2022-03-08,20220308  09:50:40,2,-1.0,209935.35
57,2022-03-08,20220308  09:50:40,2,-1.0,209935.35
58,2022-03-08,20220308  09:52:40,1,1.0,-210177.15
59,2022-03-08,20220308  09:54:40,2,-1.0,209422.85
59,2022-03-08,20220308  09:54:40,2,-1.0,209422.85
60,2022-03-08,20220308  09:56:40,1,-1.0,209335.35
61,2022-03-08,20220308  09:58:30,1,1.0,-209414.65
62,2022-03-08,20220308  10:00:29,2,-1.0,209022.85
62,2022-03-08,20220308  10:00:29,2,-1.0,209022.85
63,2022-03-08,20220308  10:02:29,1,-1.0,208697.85
64,2022-03-08,20220308  10:04:29,1,-1.0,208497.85
65,2022-03-08,20220308  10:08:29,1,-1.0,208235.35
66,2022-03-08,20220308  10:12:29,1,1.0,-208502.15
67,2022-03-08,20220308  10:16:29,2,1.0,-209127.15
67,2022-03-08,20220308  10:16:29,2,1.0,-209127.15
68,2022-03-08,20220308  10:20:29,2,1.0,-209664.65
68,2022-03-08,20220308  10:20:29,2,1.0,-209664.65
69,2022-03-08,20220308  10:22:29,1,-1.0,209260.35
70,2022-03-08,20220308  10:24:29,1,-1.0,209010.35
71,2022-03-08,20220308  10:26:29,1,-1.0,208672.85
72,2022-03-08,20220308  10:32:29,1,-1.0,208310.35
73,2022-03-08,20220308  10:34:29,1,-1.0,207960.35
74,2022-03-08,20220308  10:36:29,1,1.0,-208177.15
75,2022-03-08,20220308  10:42:29,1,1.0,-208439.65
76,2022-03-08,20220308  10:48:29,1,1.0,-208789.65
77,2022-03-08,20220308  10:54:29,1,1.0,-209152.15
78,2022-03-08,20220308  10:56:29,1,1.0,-209352.15
79,2022-03-08,20220308  10:58:29,2,1.0,-209789.65
79,2022-03-08,20220308  10:58:29,2,1.0,-209789.65
80,2022-03-08,20220308  11:02:29,1,-1.0,209572.85
81,2022-03-08,20220308  11:06:29,1,-1.0,209397.85
82,2022-03-08,20220308  11:08:29,1,-1.0,209060.35
83,2022-03-08,20220308  11:22:29,1,-1.0,208710.35
84,2022-03-08,20220308  11:26:29,1,-1.0,208372.85
85,2022-03-08,20220308  11:32:29,2,-1.0,207860.35
85,2022-03-08,20220308  11:32:29,2,-1.0,207860.35
86,2022-03-08,20220308  11:36:29,1,1.0,-208314.65
87,2022-03-08,20220308  11:42:29,1,-1.0,207947.85
88,2022-03-08,20220308  11:46:29,1,1.0,-208302.15
89,2022-03-08,20220308  11:48:29,2,1.0,-208839.65
89,2022-03-08,20220308  11:48:29,2,1.0,-208839.65
90,2022-03-08,20220308  11:50:30,1,1.0,-208902.15
91,2022-03-08,20220308  11:54:30,1,1.0,-209252.15
92,2022-03-08,20220308  12:00:30,1,-1.0,209122.85
93,2022-03-08,20220308  12:02:30,3,1.0,-209802.15
93,2022-03-08,20220308  12:02:30,3,1.0,-209802.15
93,2022-03-08,20220308  12:02:30,3,1.0,-209802.15
94,2022-03-08,20220308  12:06:30,1,1.0,-210389.65
95,2022-03-08,20220308  12:08:30,1,1.0,-210614.65
96,2022-03-08,20220308  12:12:30,2,1.0,-211052.15
96,2022-03-08,20220308  12:12:30,2,1.0,-211052.15
97,2022-03-08,20220308  12:16:30,1,1.0,-211639.65
98,2022-03-08,20220308  12:18:30,2,1.0,-212302.15
98,2022-03-08,20220308  12:18:30,2,1.0,-212302.15
99,2022-03-08,20220308  12:26:03,3,-1.0,211297.85
99,2022-03-08,20220308  12:26:03,3,-1.0,211297.85
99,2022-03-08,20220308  12:26:03,3,-1.0,211297.85
100,2022-03-08,20220308  12:28:02,1,1.0,-211564.65
101,2022-03-08,20220308  12:30:02,1,1.0,-212064.65
102,2022-03-08,20220308  12:32:02,1,-1.0,211822.85
103,2022-03-08,20220308  12:34:02,2,1.0,-212302.15
103,2022-03-08,20220308  12:34:02,2,1.0,-212302.15
104,2022-03-08,20220308  12:36:02,1,-1.0,212197.85
105,2022-03-08,20220308  12:38:02,1,1.0,-212352.15
106,2022-03-08,20220308  12:40:02,1,1.0,-212552.15
107,2022-03-08,20220308  12:42:02,1,-1.0,212260.35
108,2022-03-08,20220308  12:44:02,1,1.0,-212689.65
109,2022-03-08,20220308  12:52:02,1,-1.0,212297.85
110,2022-03-08,20220308  12:54:02,1,1.0,-212727.15
111,2022-03-08,20220308  12:58:02,1,1.0,-212814.65
112,2022-03-08,20220308  13:04:02,1,1.0,-213314.65
113,2022-03-08,20220308  13:10:02,1,1.0,-213602.15
114,2022-03-08,20220308  13:14:03,1,-1.0,213497.85
115,2022-03-08,20220308  13:22:03,1,-1.0,213022.85
116,2022-03-08,20220308  13:26:03,1,-1.0,212460.35
117,2022-03-08,20220308  13:28:03,1,-1.0,212235.35
118,2022-03-08,20220308  13:30:03,1,-1.0,211935.35
119,2022-03-08,20220308  13:32:03,2,-1.0,211410.35
119,2022-03-08,20220308  13:32:03,2,-1.0,211410.35
120,2022-03-08,20220308  13:34:03,1,1.0,-211514.65
121,2022-03-08,20220308  13:38:03,1,-1.0,211172.85
122,2022-03-08,20220308  13:42:03,1,-1.0,210872.85
123,2022-03-08,20220308  13:44:03,1,1.0,-211077.15
124,2022-03-08,20220308  13:46:03,1,-1.0,211010.35
125,2022-03-08,20220308  13:50:03,1,-1.0,210672.85
126,2022-03-08,20220308  13:56:03,1,-1.0,210260.35
127,2022-03-08,20220308  14:00:03,1,-1.0,209897.85
128,2022-03-08,20220308  14:02:03,1,-1.0,209372.85
129,2022-03-08,20220308  14:02:03,1,-1.0,209385.35
130,2022-03-08,20220308  14:06:03,1,1.0,-209639.65
131,2022-03-08,20220308  14:08:03,2,1.0,-210139.65
131,2022-03-08,20220308  14:08:03,2,1.0,-210139.65
132,2022-03-08,20220308  14:10:06,1,-1.0,209797.85
133,2022-03-08,20220308  14:12:03,1,-1.0,209510.35
134,2022-03-08,20220308  14:24:03,1,1.0,-210052.15
135,2022-03-08,20220308  14:28:03,2,1.0,-210514.65
135,2022-03-08,20220308  14:28:03,2,1.0,-210514.65
136,2022-03-08,20220308  14:34:03,1,-1.0,210035.35
137,2022-03-08,20220308  14:38:03,2,1.0,-210764.65
137,2022-03-08,20220308  14:38:03,2,1.0,-210764.65
138,2022-03-08,20220308  14:42:03,1,-1.0,210385.35
139,2022-03-08,20220308  14:44:03,1,1.0,-210802.15
140,2022-03-08,20220308  14:46:03,1,1.0,-210964.65
141,2022-03-08,20220308  14:50:03,1,1.0,-211389.65
142,2022-03-08,20220308  14:52:03,1,-1.0,211197.85
143,2022-03-08,20220308  14:54:03,1,-1.0,210972.85
144,2022-03-08,20220308  14:56:03,1,1.0,-211164.65
145,2022-03-08,20220308  14:58:03,1,-1.0,210847.85
146,2022-03-08,20220308  15:04:03,2,1.0,-211614.65
146,2022-03-08,20220308  15:04:03,2,1.0,-211614.65
147,2022-03-08,20220308  15:06:04,1,1.0,-211714.65
148,2022-03-08,20220308  15:08:04,1,-1.0,211597.85
149,2022-03-08,20220308  15:12:04,1,-1.0,211072.85
150,2022-03-08,20220308  15:14:04,1,-1.0,210797.85
151,2022-03-08,20220308  15:16:04,2,1.0,-211064.65
151,2022-03-08,20220308  15:16:04,2,1.0,-211064.65
152,2022-03-08,20220308  15:18:04,1,-1.0,210910.35
153,2022-03-08,20220308  15:22:04,2,-1.0,210510.35
153,2022-03-08,20220308  15:22:04,2,-1.0,210510.35
154,2022-03-08,20220308  15:26:04,1,1.0,-210614.65
155,2022-03-08,20220308  15:28:04,1,-1.0,210247.85
156,2022-03-08,20220308  15:30:05,2,-1.0,209735.35
156,2022-03-08,20220308  15:30:05,2,-1.0,209735.35
157,2022-03-08,20220308  15:32:04,1,-1.0,209360.35
158,2022-03-08,20220308  15:34:05,2,-1.0,208935.35
158,2022-03-08,20220308  15:34:05,2,-1.0,208935.35
159,2022-03-08,20220308  15:38:05,1,1.0,-209264.65
160,2022-03-08,20220308  15:40:05,1,1.0,-209639.65
161,2022-03-08,20220308  15:40:05,1,1.0,-209652.15
162,2022-03-08,20220308  15:42:05,1,-1.0,209535.35
163,2022-03-08,20220308  15:44:05,1,-1.0,209285.35
164,2022-03-08,20220308  15:46:05,1,-1.0,209010.35
165,2022-03-08,20220308  15:52:05,2,1.0,-209552.15
165,2022-03-08,20220308  15:52:05,2,1.0,-209552.15
166,2022-03-08,20220308  15:54:05,1,-1.0,209122.85
167,2022-03-08,20220308  15:56:05,2,-1.0,208622.85
167,2022-03-08,20220308  15:56:05,2,-1.0,208622.85
168,2022-03-08,20220308  15:58:05,1,-1.0,208497.85
169,2022-03-08,20220308  16:02:05,1,-1.0,207997.85
170,2022-03-08,20220308  16:02:48,5,1.0,-208014.65
170,2022-03-08,20220308  16:02:48,5,1.0,-208014.65
170,2022-03-08,20220308  16:02:48,5,1.0,-208014.65
170,2022-03-08,20220308  16:02:48,5,1.0,-208014.65
170,2022-03-08,20220308  16:02:48,5,1.0,-208014.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
171,2022-03-09,20220309  09:31:58,10,1.0,-212389.65
172,2022-03-09,20220309  09:51:58,1,-1.0,212135.35
173,2022-03-09,20220309  09:53:58,1,-1.0,211672.85
174,2022-03-09,20220309  09:57:58,1,1.0,-212152.15
175,2022-03-09,20220309  10:01:58,1,1.0,-212627.15
176,2022-03-09,20220309  10:03:58,1,1.0,-213002.15
177,2022-03-09,20220309  10:15:58,1,-1.0,212635.35
178,2022-03-09,20220309  10:17:58,1,1.0,-212839.65
179,2022-03-09,20220309  10:31:58,1,-1.0,212760.35
180,2022-03-09,20220309  10:33:58,1,1.0,-212864.65
181,2022-03-09,20220309  10:35:58,1,1.0,-213264.65
182,2022-03-09,20220309  10:37:58,1,-1.0,213185.35
183,2022-03-09,20220309  10:39:58,1,1.0,-213202.15
184,2022-03-09,20220309  10:41:58,1,-1.0,213160.35
185,2022-03-09,20220309  10:43:59,1,1.0,-213227.15
186,2022-03-09,20220309  10:45:58,1,-1.0,213072.85
187,2022-03-09,20220309  10:49:59,1,1.0,-213177.15
188,2022-03-09,20220309  10:53:59,1,-1.0,213060.35
189,2022-03-09,20220309  10:55:59,1,1.0,-213252.15
190,2022-03-09,20220309  11:03:59,1,-1.0,213035.35
191,2022-03-09,20220309  11:07:59,1,1.0,-213252.15
192,2022-03-09,20220309  11:09:59,1,-1.0,213072.85
193,2022-03-09,20220309  11:15:59,1,-1.0,212572.85
194,2022-03-09,20220309  11:25:07,1,1.0,-213102.15
195,2022-03-09,20220309  11:35:07,1,1.0,-213489.65
196,2022-03-09,20220309  11:57:19,1,1.0,-213802.15
197,2022-03-09,20220309  13:47:20,1,-1.0,213422.85
198,2022-03-09,20220309  13:53:20,1,1.0,-213777.15
199,2022-03-09,20220309  13:55:20,1,-1.0,213497.85
200,2022-03-09,20220309  14:01:20,1,1.0,-213664.65
201,2022-03-09,20220309  14:17:20,1,-1.0,213522.85
202,2022-03-09,20220309  14:21:20,1,1.0,-213789.65
203,2022-03-09,20220309  15:30:35,1,1.0,-214602.15
204,2022-03-09,20220309  15:34:34,1,-1.0,214685.35
205,2022-03-09,20220309  15:36:34,1,1.0,-214652.15
206,2022-03-09,20220309  15:38:34,1,-1.0,214535.35
207,2022-03-17,20220317  09:35:28,1,-1.0,217097.85
208,2022-03-17,20220317  09:43:27,1,1.0,-217289.65
209,2022-03-17,20220317  09:59:27,1,1.0,-218214.65
210,2022-03-17,20220317  10:07:27,1,1.0,-218489.65
211,2022-03-17,20220317  10:09:27,1,-1.0,218510.35
212,2022-03-17,20220317  10:11:27,1,1.0,-218539.65
213,2022-03-17,20220317  10:13:27,1,-1.0,218347.85
214,2022-03-17,20220317  10:33:28,1,-1.0,218022.85
215,2022-03-17,20220317  10:49:28,1,-1.0,217385.35
216,2022-03-17,20220317  11:25:28,1,1.0,-218014.65
217,2022-03-17,20220317  11:29:28,1,-1.0,217835.35
218,2022-03-17,20220317  11:31:28,1,1.0,-217989.65
219,2022-03-17,20220317  11:35:28,1,-1.0,217947.85
220,2022-03-17,20220317  11:40:25,1,1.0,-218252.15
221,2022-03-17,20220317  11:48:23,1,-1.0,217810.35
222,2022-03-17,20220317  11:54:23,1,1.0,-218139.65
223,2022-03-17,20220317  12:22:23,1,1.0,-218864.65
224,2022-03-17,20220317  13:26:24,1,1.0,-219277.15
225,2022-03-17,20220317  13:42:24,1,1.0,-219802.15
226,2022-03-17,20220317  13:56:25,5,1.0,-220052.15
226,2022-03-17,20220317  13:56:25,5,1.0,-220052.15
226,2022-03-17,20220317  13:56:25,5,1.0,-220052.15
226,2022-03-17,20220317  13:56:25,5,1.0,-220052.15
226,2022-03-17,20220317  13:56:25,5,1.0,-220052.15
227,2022-03-17,20220317  13:56:49,5,-1.0,219972.85
227,2022-03-17,20220317  13:56:49,5,-1.0,219972.85
227,2022-03-17,20220317  13:56:49,5,-1.0,219972.85
227,2022-03-17,20220317  13:56:49,5,-1.0,219972.85
227,2022-03-17,20220317  13:56:49,5,-1.0,219972.85
228,2022-03-17,20220317  14:24:25,1,-1.0,219510.35
229,2022-03-17,20220317  14:34:25,1,1.0,-219639.65
230,2022-03-17,20220317  14:36:25,1,-1.0,219622.85
231,2022-03-17,20220317  14:46:25,1,1.0,-219639.65
232,2022-03-17,20220317  15:17:23,1,-1.0,219510.35
233,2022-03-17,20220317  15:52:26,1,1.0,-220152.15
234,2022-03-17,20220317  16:00:25,2,1.0,-220664.65
234,2022-03-17,20220317  16:00:25,2,1.0,-220664.65
235,2022-03-17,20220317  16:09:31,1,-1.0,220210.35
236,2022-03-17,20220317  16:09:31,1,-1.0,220197.85
237,2022-03-18,20220318  09:36:34,1,1.0,-219714.65
238,2022-03-18,20220318  09:38:32,1,-1.0,219497.85
239,2022-03-18,20220318  09:44:32,1,1.0,-219539.65
240,2022-03-18,20220318  09:50:32,1,1.0,-219927.15
241,2022-03-18,20220318  09:52:32,1,-1.0,219735.35
242,2022-03-18,20220318  10:01:08,1,1.0,-219989.65
243,2022-03-18,20220318  10:09:08,1,1.0,-220339.65
244,2022-03-18,20220318  10:17:08,1,-1.0,220247.85
245,2022-03-18,20220318  10:23:08,1,1.0,-220352.15
246,2022-03-18,20220318  10:25:08,1,-1.0,220235.35
247,2022-03-18,20220318  10:33:08,1,1.0,-220377.15
248,2022-03-18,20220318  10:35:08,1,-1.0,220222.85
249,2022-03-18,20220318  10:39:08,1,-1.0,219785.35
250,2022-03-18,20220318  10:43:08,1,1.0,-220039.65
251,2022-03-18,20220318  10:45:08,1,-1.0,220022.85
252,2022-03-18,20220318  10:47:08,1,1.0,-220114.65
253,2022-03-18,20220318  10:51:09,1,-1.0,219860.35
254,2022-03-18,20220318  10:57:08,1,1.0,-220164.65
255,2022-03-18,20220318  11:07:08,1,1.0,-220552.15
256,2022-03-18,20220318  11:17:09,1,-1.0,220297.85
257,2022-03-18,20220318  11:23:55,2,1.0,-220314.65
257,2022-03-18,20220318  11:23:55,2,1.0,-220314.65
258,2022-03-18,20220318  11:31:55,1,1.0,-220464.65
259,2022-03-18,20220318  11:35:54,1,-1.0,220422.85
260,2022-03-18,20220318  11:37:54,1,1.0,-220727.15
261,2022-03-18,20220318  11:41:54,1,-1.0,220397.85
262,2022-03-18,20220318  11:48:13,2,-1.0,220272.85
262,2022-03-18,20220318  11:48:13,2,-1.0,220272.85
263,2022-03-18,20220318  11:48:15,2,-1.0,220335.35
263,2022-03-18,20220318  11:48:15,2,-1.0,220335.35
264,2022-03-18,20220318  11:48:56,2,1.0,-220314.65
264,2022-03-18,20220318  11:48:56,2,1.0,-220314.65
265,2022-03-18,20220318  12:18:27,1,1.0,-220764.65
266,2022-03-18,20220318  12:20:27,1,-1.0,220622.85
267,2022-03-18,20220318  12:24:27,1,1.0,-220764.65
268,2022-03-18,20220318  12:40:27,1,1.0,-221177.15
269,2022-03-18,20220318  12:48:27,1,-1.0,220985.35
270,2022-03-18,20220318  12:50:27,1,1.0,-221077.15
271,2022-03-18,20220318  13:04:27,1,-1.0,221110.35
272,2022-03-18,20220318  13:06:27,1,1.0,-221127.15
273,2022-03-18,20220318  13:26:27,1,1.0,-221452.15
274,2022-03-18,20220318  13:42:27,1,-1.0,221410.35
275,2022-03-18,20220318  13:50:27,1,1.0,-221489.65
276,2022-03-18,20220318  13:52:27,1,-1.0,221422.85
277,2022-03-18,20220318  14:02:27,1,1.0,-221477.15
278,2022-03-18,20220318  14:04:27,1,-1.0,221410.35
279,2022-03-18,20220318  14:16:28,1,1.0,-221552.15
280,2022-03-18,20220318  14:20:28,1,-1.0,221485.35
281,2022-03-18,20220318  14:24:28,1,1.0,-221552.15
282,2022-03-18,20220318  14:26:28,1,-1.0,221397.85
283,2022-03-18,20220318  14:34:28,1,1.0,-221514.65
284,2022-03-18,20220318  14:42:28,1,-1.0,221410.35
285,2022-03-18,20220318  14:46:28,1,1.0,-221564.65
286,2022-03-18,20220318  15:06:28,1,1.0,-221902.15
287,2022-03-18,20220318  15:21:37,1,1.0,-222289.65
288,2022-03-18,20220318  15:27:36,1,1.0,-222464.65
289,2022-03-18,20220318  15:35:37,1,1.0,-222814.65
290,2022-03-18,20220318  15:37:37,2,-1.0,222347.85
290,2022-03-18,20220318  15:37:37,2,-1.0,222347.85
291,2022-03-18,20220318  15:41:37,1,1.0,-222414.65
292,2022-03-18,20220318  15:51:37,1,-1.0,222447.85
293,2022-03-18,20220318  15:53:37,1,1.0,-222527.15
294,2022-03-18,20220318  15:57:10,2,-1.0,222685.35
294,2022-03-18,20220318  15:57:10,2,-1.0,222685.35
